+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; wallet_cpu_inst|led_po                                                                                                                                               ; 43    ; 0              ; 28           ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|epcs_flash_controller|the_boot_copier_rom|auto_generated                                                                                             ; 10    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|epcs_flash_controller|the_crypto_wallet_epcs_flash_controller_sub                                                                                    ; 25    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|epcs_flash_controller                                                                                                                                ; 48    ; 0              ; 16           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_debug_slave_wrapper|the_crypto_wallet_cpu_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_debug_slave_wrapper|the_crypto_wallet_cpu_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_debug_slave_wrapper                                                            ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_ocimem|crypto_wallet_cpu_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_ocimem|crypto_wallet_cpu_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_ocimem                                                                   ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_avalon_reg                                                               ; 48    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_im                                                                   ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_pib                                                                  ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_fifo|the_crypto_wallet_cpu_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_fifo|the_crypto_wallet_cpu_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_fifo|the_crypto_wallet_cpu_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_fifo                                                                 ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_dtrace|crypto_wallet_cpu_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_dtrace                                                               ; 112   ; 0              ; 101          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_itrace                                                               ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_dbrk                                                                 ; 97    ; 0              ; 0            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_xbrk                                                                 ; 63    ; 5              ; 60           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_break                                                                ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci|the_crypto_wallet_cpu_cpu_nios2_oci_debug                                                                ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_nios2_oci                                                                                                          ; 174   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|crypto_wallet_cpu_cpu_register_bank_b|the_altsyncram|auto_generated                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|crypto_wallet_cpu_cpu_register_bank_b                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|crypto_wallet_cpu_cpu_register_bank_a|the_altsyncram|auto_generated                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|crypto_wallet_cpu_cpu_register_bank_a                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu|the_crypto_wallet_cpu_cpu_test_bench                                                                                                         ; 315   ; 3              ; 281          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu|cpu                                                                                                                                              ; 149   ; 1              ; 30           ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|cpu                                                                                                                                                  ; 149   ; 1              ; 0            ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst|buttons_pi                                                                                                                                           ; 45    ; 0              ; 38           ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; wallet_cpu_inst                                                                                                                                                      ; 10    ; 3              ; 0            ; 3              ; 34     ; 3               ; 3             ; 3               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
